,,,Stand,Hit,Optimal,Optimal Return
4,1,False,"tensor(-1.0201, grad_fn=<SelectBackward0>)","tensor(-0.4827, grad_fn=<SelectBackward0>)",Hit,-0.4826905131340027
4,2,True,"tensor(-0.9133, grad_fn=<SelectBackward0>)","tensor(-0.2357, grad_fn=<SelectBackward0>)",Hit,-0.23570352792739868
4,2,False,"tensor(-0.6305, grad_fn=<SelectBackward0>)","tensor(-0.2595, grad_fn=<SelectBackward0>)",Hit,-0.2594873905181885
4,3,True,"tensor(-0.7612, grad_fn=<SelectBackward0>)","tensor(-0.1379, grad_fn=<SelectBackward0>)",Hit,-0.1378796100616455
4,3,False,"tensor(-0.5510, grad_fn=<SelectBackward0>)","tensor(-0.1486, grad_fn=<SelectBackward0>)",Hit,-0.1485920548439026
4,4,True,"tensor(-0.6971, grad_fn=<SelectBackward0>)","tensor(-0.1129, grad_fn=<SelectBackward0>)",Hit,-0.11294127255678177
4,4,False,"tensor(-0.5055, grad_fn=<SelectBackward0>)","tensor(-0.0743, grad_fn=<SelectBackward0>)",Hit,-0.07432705909013748
4,5,True,"tensor(-0.7176, grad_fn=<SelectBackward0>)","tensor(-0.0917, grad_fn=<SelectBackward0>)",Hit,-0.09170181304216385
4,5,False,"tensor(-0.5305, grad_fn=<SelectBackward0>)","tensor(-0.0022, grad_fn=<SelectBackward0>)",Hit,-0.002221830189228058
4,6,True,"tensor(-0.7704, grad_fn=<SelectBackward0>)","tensor(-0.0988, grad_fn=<SelectBackward0>)",Hit,-0.09875447303056717
4,6,False,"tensor(-0.5980, grad_fn=<SelectBackward0>)","tensor(0.0062, grad_fn=<SelectBackward0>)",Hit,0.006196849048137665
4,7,True,"tensor(-0.8359, grad_fn=<SelectBackward0>)","tensor(-0.1756, grad_fn=<SelectBackward0>)",Hit,-0.1756393313407898
4,7,False,"tensor(-0.6612, grad_fn=<SelectBackward0>)","tensor(-0.0448, grad_fn=<SelectBackward0>)",Hit,-0.04475981742143631
4,8,True,"tensor(-0.9026, grad_fn=<SelectBackward0>)","tensor(-0.2744, grad_fn=<SelectBackward0>)",Hit,-0.2743842899799347
4,8,False,"tensor(-0.7187, grad_fn=<SelectBackward0>)","tensor(-0.1310, grad_fn=<SelectBackward0>)",Hit,-0.13101714849472046
4,9,True,"tensor(-0.9608, grad_fn=<SelectBackward0>)","tensor(-0.3745, grad_fn=<SelectBackward0>)",Hit,-0.37451526522636414
4,9,False,"tensor(-0.7790, grad_fn=<SelectBackward0>)","tensor(-0.2287, grad_fn=<SelectBackward0>)",Hit,-0.22867953777313232
4,10,True,"tensor(-1.0281, grad_fn=<SelectBackward0>)","tensor(-0.4815, grad_fn=<SelectBackward0>)",Hit,-0.48151683807373047
4,10,False,"tensor(-0.8382, grad_fn=<SelectBackward0>)","tensor(-0.3329, grad_fn=<SelectBackward0>)",Hit,-0.33287182450294495
5,1,True,"tensor(-1.2870, grad_fn=<SelectBackward0>)","tensor(-0.5136, grad_fn=<SelectBackward0>)",Hit,-0.5135799646377563
5,1,False,"tensor(-1.0528, grad_fn=<SelectBackward0>)","tensor(-0.5055, grad_fn=<SelectBackward0>)",Hit,-0.5054615139961243
5,2,True,"tensor(-0.8971, grad_fn=<SelectBackward0>)","tensor(-0.2739, grad_fn=<SelectBackward0>)",Hit,-0.27390193939208984
5,2,False,"tensor(-0.6253, grad_fn=<SelectBackward0>)","tensor(-0.2939, grad_fn=<SelectBackward0>)",Hit,-0.29387885332107544
5,3,True,"tensor(-0.7358, grad_fn=<SelectBackward0>)","tensor(-0.1696, grad_fn=<SelectBackward0>)",Hit,-0.1695612072944641
5,3,False,"tensor(-0.5242, grad_fn=<SelectBackward0>)","tensor(-0.1918, grad_fn=<SelectBackward0>)",Hit,-0.1918196678161621
5,4,True,"tensor(-0.6842, grad_fn=<SelectBackward0>)","tensor(-0.1266, grad_fn=<SelectBackward0>)",Hit,-0.12662822008132935
5,4,False,"tensor(-0.4905, grad_fn=<SelectBackward0>)","tensor(-0.1269, grad_fn=<SelectBackward0>)",Hit,-0.12690049409866333
5,5,True,"tensor(-0.6737, grad_fn=<SelectBackward0>)","tensor(-0.1544, grad_fn=<SelectBackward0>)",Hit,-0.15437054634094238
5,5,False,"tensor(-0.4728, grad_fn=<SelectBackward0>)","tensor(-0.0927, grad_fn=<SelectBackward0>)",Hit,-0.09266401082277298
5,6,True,"tensor(-0.7104, grad_fn=<SelectBackward0>)","tensor(-0.1623, grad_fn=<SelectBackward0>)",Hit,-0.16234076023101807
5,6,False,"tensor(-0.5234, grad_fn=<SelectBackward0>)","tensor(-0.0734, grad_fn=<SelectBackward0>)",Hit,-0.07340479642152786
5,7,True,"tensor(-0.7736, grad_fn=<SelectBackward0>)","tensor(-0.2308, grad_fn=<SelectBackward0>)",Hit,-0.23078995943069458
5,7,False,"tensor(-0.5925, grad_fn=<SelectBackward0>)","tensor(-0.1055, grad_fn=<SelectBackward0>)",Hit,-0.10550636798143387
5,8,True,"tensor(-0.8385, grad_fn=<SelectBackward0>)","tensor(-0.3399, grad_fn=<SelectBackward0>)",Hit,-0.3399023115634918
5,8,False,"tensor(-0.6567, grad_fn=<SelectBackward0>)","tensor(-0.1996, grad_fn=<SelectBackward0>)",Hit,-0.19958066940307617
5,9,True,"tensor(-0.9007, grad_fn=<SelectBackward0>)","tensor(-0.4452, grad_fn=<SelectBackward0>)",Hit,-0.44519102573394775
5,9,False,"tensor(-0.7174, grad_fn=<SelectBackward0>)","tensor(-0.3021, grad_fn=<SelectBackward0>)",Hit,-0.3021036982536316
5,10,True,"tensor(-0.9592, grad_fn=<SelectBackward0>)","tensor(-0.5497, grad_fn=<SelectBackward0>)",Hit,-0.5496755838394165
5,10,False,"tensor(-0.7928, grad_fn=<SelectBackward0>)","tensor(-0.3946, grad_fn=<SelectBackward0>)",Hit,-0.3945873975753784
6,1,True,"tensor(-1.2608, grad_fn=<SelectBackward0>)","tensor(-0.5314, grad_fn=<SelectBackward0>)",Hit,-0.5314434170722961
6,1,False,"tensor(-1.0522, grad_fn=<SelectBackward0>)","tensor(-0.5167, grad_fn=<SelectBackward0>)",Hit,-0.5166680216789246
6,2,True,"tensor(-0.8751, grad_fn=<SelectBackward0>)","tensor(-0.2967, grad_fn=<SelectBackward0>)",Hit,-0.29668471217155457
6,2,False,"tensor(-0.5955, grad_fn=<SelectBackward0>)","tensor(-0.2806, grad_fn=<SelectBackward0>)",Hit,-0.28064775466918945
6,3,True,"tensor(-0.7176, grad_fn=<SelectBackward0>)","tensor(-0.1939, grad_fn=<SelectBackward0>)",Hit,-0.19389092922210693
6,3,False,"tensor(-0.4692, grad_fn=<SelectBackward0>)","tensor(-0.2053, grad_fn=<SelectBackward0>)",Hit,-0.2052956223487854
6,4,True,"tensor(-0.6774, grad_fn=<SelectBackward0>)","tensor(-0.1000, grad_fn=<SelectBackward0>)",Hit,-0.10002095252275467
6,4,False,"tensor(-0.4899, grad_fn=<SelectBackward0>)","tensor(-0.1316, grad_fn=<SelectBackward0>)",Hit,-0.13157576322555542
6,5,True,"tensor(-0.6434, grad_fn=<SelectBackward0>)","tensor(-0.0971, grad_fn=<SelectBackward0>)",Hit,-0.09706182032823563
6,5,False,"tensor(-0.4414, grad_fn=<SelectBackward0>)","tensor(-0.0788, grad_fn=<SelectBackward0>)",Hit,-0.07881499081850052
6,6,True,"tensor(-0.6665, grad_fn=<SelectBackward0>)","tensor(-0.1418, grad_fn=<SelectBackward0>)",Hit,-0.14179664850234985
6,6,False,"tensor(-0.4650, grad_fn=<SelectBackward0>)","tensor(-0.0919, grad_fn=<SelectBackward0>)",Hit,-0.09189850836992264
6,7,True,"tensor(-0.7251, grad_fn=<SelectBackward0>)","tensor(-0.2368, grad_fn=<SelectBackward0>)",Hit,-0.23684173822402954
6,7,False,"tensor(-0.5377, grad_fn=<SelectBackward0>)","tensor(-0.1451, grad_fn=<SelectBackward0>)",Hit,-0.14512866735458374
6,8,True,"tensor(-0.7904, grad_fn=<SelectBackward0>)","tensor(-0.3647, grad_fn=<SelectBackward0>)",Hit,-0.36469584703445435
6,8,False,"tensor(-0.6163, grad_fn=<SelectBackward0>)","tensor(-0.2436, grad_fn=<SelectBackward0>)",Hit,-0.24358677864074707
6,9,True,"tensor(-0.8572, grad_fn=<SelectBackward0>)","tensor(-0.4755, grad_fn=<SelectBackward0>)",Hit,-0.47551387548446655
6,9,False,"tensor(-0.6919, grad_fn=<SelectBackward0>)","tensor(-0.3339, grad_fn=<SelectBackward0>)",Hit,-0.3339479863643646
6,10,True,"tensor(-0.9279, grad_fn=<SelectBackward0>)","tensor(-0.5697, grad_fn=<SelectBackward0>)",Hit,-0.5696935057640076
6,10,False,"tensor(-0.7669, grad_fn=<SelectBackward0>)","tensor(-0.4271, grad_fn=<SelectBackward0>)",Hit,-0.4270576238632202
7,1,True,"tensor(-1.2095, grad_fn=<SelectBackward0>)","tensor(-0.4892, grad_fn=<SelectBackward0>)",Hit,-0.4892154932022095
7,1,False,"tensor(-1.0277, grad_fn=<SelectBackward0>)","tensor(-0.4901, grad_fn=<SelectBackward0>)",Hit,-0.4901233911514282
7,2,True,"tensor(-0.8550, grad_fn=<SelectBackward0>)","tensor(-0.2605, grad_fn=<SelectBackward0>)",Hit,-0.2604874074459076
7,2,False,"tensor(-0.6014, grad_fn=<SelectBackward0>)","tensor(-0.2294, grad_fn=<SelectBackward0>)",Hit,-0.22935566306114197
7,3,True,"tensor(-0.7069, grad_fn=<SelectBackward0>)","tensor(-0.1682, grad_fn=<SelectBackward0>)",Hit,-0.16816630959510803
7,3,False,"tensor(-0.4118, grad_fn=<SelectBackward0>)","tensor(-0.1555, grad_fn=<SelectBackward0>)",Hit,-0.15546652674674988
7,4,True,"tensor(-0.6167, grad_fn=<SelectBackward0>)","tensor(-0.0803, grad_fn=<SelectBackward0>)",Hit,-0.0802932158112526
7,4,False,"tensor(-0.4425, grad_fn=<SelectBackward0>)","tensor(-0.1099, grad_fn=<SelectBackward0>)",Hit,-0.10992170125246048
7,5,True,"tensor(-0.6410, grad_fn=<SelectBackward0>)","tensor(-0.0495, grad_fn=<SelectBackward0>)",Hit,-0.04949597269296646
7,5,False,"tensor(-0.4601, grad_fn=<SelectBackward0>)","tensor(-0.0553, grad_fn=<SelectBackward0>)",Hit,-0.05528370290994644
7,6,True,"tensor(-0.6336, grad_fn=<SelectBackward0>)","tensor(-0.0583, grad_fn=<SelectBackward0>)",Hit,-0.05826709419488907
7,6,False,"tensor(-0.4284, grad_fn=<SelectBackward0>)","tensor(-0.0379, grad_fn=<SelectBackward0>)",Hit,-0.03789035230875015
7,7,True,"tensor(-0.6782, grad_fn=<SelectBackward0>)","tensor(-0.1553, grad_fn=<SelectBackward0>)",Hit,-0.1553175449371338
7,7,False,"tensor(-0.4983, grad_fn=<SelectBackward0>)","tensor(-0.0723, grad_fn=<SelectBackward0>)",Hit,-0.07232577353715897
7,8,True,"tensor(-0.7580, grad_fn=<SelectBackward0>)","tensor(-0.3058, grad_fn=<SelectBackward0>)",Hit,-0.305814266204834
